Name,Tag,Clan,Total Wars,Last War Date,Duration
Ershad2,#9PVQ9RJJG,PETARUNG SEJATI,6,1/9/2022,7d
Revolt,#289YCRGU2,PETARUNG SEJATI,6,1/9/2022,7d
littlesonshine,#RCV08YPR,PETARUNG SEJATI,6,1/9/2022,7d
LeeJ,#UJL9YQLY,PETARUNG SEJATI,9,1/9/2022,7d
Zeakobeastly,#29J0RGPUJ,PETARUNG SEJATI,6,1/9/2022,7d
McLovin,#RLRQU09P,PETARUNG SEJATI,6,1/9/2022,7d
Tøxïç Šūrgë,#R9YRCQC8,PETARUNG SEJATI,6,1/9/2022,7d
Aussie,#2CJGPPR0P,PETARUNG SEJATI,6,1/9/2022,7d
DANG,#Y9R8VC00,PETARUNG SEJATI,9,1/9/2022,7d
Warlords Outcry,#VG0PV298,PETARUNG SEJATI,9,1/9/2022,7d
RH Rangers,#2JJGL8JL0,PETARUNG SEJATI,6,1/9/2022,7d
Logan,#280QYU8Y,PETARUNG SEJATI,6,1/9/2022,7d
Dragons,#C292RPPY,PETARUNG SEJATI,6,1/9/2022,7d
yazan7,#9CP8CP99,PETARUNG SEJATI,6,1/9/2022,7d
"Drew, And",#GL9JRQR2,PETARUNG SEJATI,6,1/9/2022,7d
Matt,#2208RQJRJ,PETARUNG SEJATI,6,1/9/2022,7d
Alex,#LUQ9989,PETARUNG SEJATI,6,1/9/2022,7d
HomeSlicedToast,#G099YGUG,PETARUNG SEJATI,6,1/9/2022,7d
Beta,#20R8UV8RL,PETARUNG SEJATI,6,1/9/2022,7d
Tricky,#RGVCJJUY,PETARUNG SEJATI,9,1/9/2022,7d
DonkeyKongJr,#9LVR9Q9UV,PETARUNG SEJATI,5,1/8/2022,8d
Maverick_OG,#UQGV2J92,PETARUNG SEJATI,3,11/9/2021,68d
Designerpog,#QP2LUC009,PETARUNG SEJATI,3,11/9/2021,68d
kllacam19k,#2QGLGU0LY,PETARUNG SEJATI,3,11/9/2021,68d
DarkLight,#Q89UJYRV0,PETARUNG SEJATI,3,11/9/2021,68d
ErnieMata,#J9P0JL0Q,PETARUNG SEJATI,3,11/9/2021,68d
TMG,#QY0LUG22J,PETARUNG SEJATI,3,11/9/2021,68d
Baby Dragon,#LPU228892,PETARUNG SEJATI,3,11/9/2021,68d
turtle,#P2JLJU89L,PETARUNG SEJATI,3,11/9/2021,68d
borse11,#LYC9YC9CQ,PETARUNG SEJATI,3,11/9/2021,68d
julia,#LYQ20U2JP,PETARUNG SEJATI,3,11/9/2021,68d
Sloth,#Y9V8LUCLQ,PETARUNG SEJATI,3,11/9/2021,68d
✌iam5ick.F2P✌,#9VCYP88J,PETARUNG SEJATI,3,11/9/2021,68d
Blue,#JCYYY9VY,PETARUNG SEJATI,3,11/9/2021,68d
Pixal,#QP00RQV0,PETARUNG SEJATI,2,11/9/2021,68d
iam5ick,#QY0PL2QCL,PETARUNG SEJATI,2,11/9/2021,68d
Beyond,#Q0PYP8U0V,PETARUNG SEJATI,3,11/9/2021,68d
Clasher Fan,#9R89Q2VC9,PETARUNG SEJATI,3,11/9/2021,68d
