Name,Tag,Last War,Town Hall,Clan,Total Wars
Mr. Coco 1.2,#QY299LG90,9/26/2021,5,Mini Matter,9
Tweight,#Q9992Y9RL,9/26/2021,6,Mini Matter,1
Monkeylette,#PV2CG0YJ8,9/26/2021,4,Mini Matter,7
lndaprmtsri01,#QLQP0VYUY,9/26/2021,5,Mini Matter,2
Karaka,#QPQCLG809,9/26/2021,5,Mini Matter,8
Magikarp,#QGRYV2QVC,9/26/2021,6,Mini Matter,4
Alex The Brave,#Q8YQ0CCQ2,9/26/2021,6,Mini Matter,9
Eric,#YJRUGYYGP,9/26/2021,5,Mini Matter,4
G.O.L.D.,#Y0GLU0G9Y,9/26/2021,8,Mini Matter,9
bread god,#LR0L89LUP,9/26/2021,7,Mini Matter,5
Mini Dang,#QQP99P2PL,9/26/2021,6,Mini Matter,2
FlipDon,#PRVV2GV80,9/26/2021,7,Mini Matter,9
ob,#YL8LRVYVJ,9/26/2021,9,Mini Matter,9
Krakatoa,#Q2UQQPGPP,9/26/2021,6,Mini Matter,9
Elder's DoorMan,#YRCJ9L80R,9/26/2021,6,Mini Matter,7
me,#Q9U9GV2Q9,9/24/2021,5,Mini Matter,4
BerickTK,#200GQC002,9/24/2021,7,Mini Matter,1
MaggieCarter,#QLQJPL2L8,9/24/2021,7,Mini Matter,8
Taran 2,#YGGVR2820,9/24/2021,7,Mini Matter,1
Bucknuts,#QQ88VUQCR,9/24/2021,5,Mini Matter,1
Faylyne.,#QYCY8PGYU,9/24/2021,5,Mini Matter,2
daniel,#LVLVUP8JJ,9/24/2021,4,Mini Matter,1
wendiGustiawan,#QGYCR2LGG,9/24/2021,5,Mini Matter,1
joel22,#QLYLQRVUQ,9/17/2021,7,Mini Matter,5
Doorman SP,#L20CJU9C0,9/17/2021,3,Mini Matter,1
DocDon,#PYV2U22QP,9/17/2021,5,Mini Matter,3
Raffallo,#PQY22VU2L,9/17/2021,7,Mini Matter,5
Beowulf,#QLLJQUQLV,9/15/2021,7,Mini Matter,1
PrimeDrag™,#Q88P2YGR9,9/11/2021,2,Mini Matter,3
morf0wt,#QYG9PVYJP,9/11/2021,7,Mini Matter,2
KnightBm™,#LRP2LVQCU,9/8/2021,8,Mini Matter,2
Damp Nap,#QPVJP22QG,8/24/2021,3,Endor,1
Arc7han7gel7,#289RJQL8C,8/24/2021,14,Endor,1
Pixal,#QP00RQV0,8/24/2021,13,Endor,1
Wet Nightmare,#LQ0PGV0LJ,8/24/2021,14,Endor,2
Xenpachi,#LJJLUL92L,6/1/2021,9,Endor,2
Warlords Outcry,#VG0PV298,6/1/2021,11,Endor,3
Tricky,#RGVCJJUY,6/1/2021,11,Endor,3
Blue,#JCYYY9VY,6/1/2021,11,Endor,2
o0o_Jerson_o0o,#PL9VLC9RP,6/1/2021,11,Endor,3
Harvey,#PUGJ2R0C,6/1/2021,10,Endor,3
Luca,#8J2LGRUU,6/1/2021,11,Endor,3
go easy on me,#LJVCYVPV9,6/1/2021,10,Endor,2
Sloth,#Y9V8LUCLQ,6/1/2021,10,Endor,2
Pride,#92GJ2JUCG,6/1/2021,10,Endor,2
Baby Dragon,#LPU228892,6/1/2021,10,Endor,2
F.I.N.E.,#99Q0PLVPC,5/31/2021,11,Endor,1
Max All B4 TH,#LGVVPPQ0C,5/31/2021,11,Endor,1
Onahole,#8PP29PLC8,5/31/2021,10,Endor,1
Pixalite,#29Q8Y200G,5/31/2021,9,Endor,1
Willy,#22Q8Y2CU9,5/31/2021,10,Endor,1
Trap Master,#2JQGJ8LU9,5/31/2021,10,Endor,1
S.T.A.R.,#LR0LJQ9C9,5/31/2021,9,Endor,1
